TotalCount,Work_Sets,TOP_PCS,BTM_PCS,Date_PowerOn,StartingTime,Date_PowerOff,EndingTime_Work,EndingTime_Rework,CycleTime,OperatingTime,PCS/SB,SB_SP_QTY,SB_SP_eq._PCS,SB_SP_eq._HRS,UCW_SP_QTY,UCW_PP_LifeSpan(%),UCW_PP_eq._PCS,UCW_PP_eq._HRS,LCW_SP_QTY,LCW_PP_LifeSpan(%),LCW_PP_eq._PCS,LCW_PP_eq._HRS,UCW_k,LCW_k,UCW_dif_a,LCW_dif_a,UCW_a,LCW_a,UCW_remaining_a,LCW_remaining_a,UCW_timer,LCW_timer,UCW_mean_time,LCW_mean_time,UCW_count,LCW_count,Timer_A,Mean_time_A,Count_A,Timer_B2,Mean_time_B2,Count_B2,Timer_B_c,Mean_time_B_c,Count_B_c,Timer_B_s,Mean_time_B_s,Count_B_s
10860,17,0,,2020/3/27,08:12:46,2020/3/27,11:18:00,N/A,99.471,00:28:11,1000,63,63548,1721.68,0,29.77%,6215,171.73,0,79.79%,43895,1212.85,,,,,,,,,,,,,,,,,,,,,,,,,,
11141,281,0,,2020/3/27,11:31:11,2020/3/27,20:31:14,N/A,99.555,07:46:15,1000,63,63267,1739.25,0,28.47%,5934,164.1,0,79.36%,43614,1206.11,,,,,,,,,,,,,,,,,,,,,,,,,,
11408,267,0,,2020/3/28,08:02:25,2020/3/28,16:43:56,N/A,100.667,07:27:58,1000,62,63000,1733.7,0,27.23%,5667,158.47,0,78.95%,43347,1212.11,,,,,,,,,,,,,,,,,,,,,,,,,,
11783,372,3,,2020/3/30,08:02:32,2020/3/30,20:29:50,09:14:50,98.683,10:16:46,1000,62,62625,1715.05,0,25.50%,5292,145.06,0,78.38%,42972,1177.94,,,,,,,,,,,,,,,,,,,,,,,,,,
11831,38,10,,2020/3/31,08:03:28,2020/3/31,10:11:58,09:22:51,99.604,01:19:41,1000,62,62577,1735.29,0,25.27%,5244,145.09,0,78.31%,42924,1187.61,,,,,,,,,,,,,,,,,,,,,,,,,,
11832,1,0,,2020/3/31,15:04:13,2020/3/31,16:24:24,N/A,100,00:01:40,1000,62,62576,1731,0,25.27%,5243,145.64,0,78.31%,42923,1192.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11853,21,0,,2020/4/13,14:34:18,2020/4/13,18:31:34,N/A,78.81,00:27:35,1000,62,62544,1367.7,0,25.17%,5222,114.32,0,78.27%,43048,942.4,,,,,,,,,,,,,,,,,,,,,,,,,,
11911,14,44,,2020/4/14,08:34:15,2020/4/14,16:54:07,14:11:35,76.931,01:14:22,700,61,43382,933.06,0,25.11%,5208,111.29,0,78.17%,42990,918.69,,,,,,,,,,,,,,,,,,,,,,,,,,
11995,10,74,,2020/4/15,08:32:13,2020/4/15,16:01:52,15:22:56,60.964,01:25:21,700,61,43302,927.8,0,24.88%,5157,110.62,0,78.05%,42925,914.44,,,,,,,,,,,,,,,,,,,,,,,,,,
11996,1,0,,2020/4/16,10:06:50,2020/4/16,11:25:43,N/A,77,00:01:17,700,61,43301,927.52,0,24.87%,5156,110.3,0,78.05%,42924,918.1,,,,,,,,,,,,,,,,,,,,,,,,,,
