Date,Time,TotalCount,CycleTime,PCS/SB,SB_SP_QTY,Timer_A,Mean_time_A,Count_A,Timer_B2,Mean_time_B2,Count_B2,Timer_B_c,Mean_time_B_c,Count_B_c,Timer_B_s,Mean_time_B_s,Count_B_s
2020-05-18,14:06:21,17597,79.775,1000,55,2500.03,2.50004,1000,470.58,0.699235,673,1553.79,2.29511,677,1721.38,2.54266,677 
2020-05-21,15:54:39,18597,67.559,1000,54,2299.5,2.2995,1000,586.77,0.697706,841,1653.74,1.96639,841,2338.17,2.33351,1002 
2020-05-26,10:50:48,19597,62.888,1000,53,2021.38,2.02138,1000,170.64,0.699361,244,939.6,2.08799,450,2327.29,2.32729,1000 
2020-06-05,10:38:09,20597,79.12,1000,52,2294.47,2.29447,1000,225.76,0.701127,322,873.14,2.58324,338,2324.64,2.32464,1000 
2020-06-18,15:50:37,21597,78.568,1000,51,2785.29,2.78529,1000,698.11,0.698112,1000,2095.81,2.09581,1000,2334.92,2.33492,1000 
2020-06-22,16:59:05,22597,78.816,1000,50,2786.11,2.78611,1000,697.91,0.697909,1000,2095.4,2.0954,1000,2335.85,2.33585,1000 
2020-06-24,18:09:21,23597,78.36,1000,49,2783.2,2.7832,1000,697.78,0.697785,1000,2096.15,2.09615,1000,2335.33,2.33533,1000 
2020-06-30,19:29:35,24597,78.074,1000,48,2782.57,2.78257,1000,698.81,0.698809,1000,2095.1,2.0951,1000,2335.29,2.33529,1000 
2020-07-21,10:42:26,25567,78.949,970,47,2557.55,2.63665,970,677.04,0.697979,970,2010.35,2.07252,970,2238.96,2.30821,970 
2020-07-23,09:53:44,26567,78.385,1000,46,2726.91,2.72691,1000,698.15,0.698146,1000,2116.23,2.11835,999,2358.76,2.36112,999 
2020-07-24,17:31:12,27567,78.04,1000,45,2767.97,2.76797,1000,698,0.697996,1000,2098.51,2.09851,1000,2336.01,2.33601,1000 
2020-07-28,19:48:58,28004,51.09,1000,44,936.8,2.1437,437,698.99,0.697591,1002,2072.52,2.07045,1001,854.26,1.95037,438 
2020-07-30,19:24:41,28874,78.446,1000,43,2373.8,2.7285,870,699.33,0.698626,1001,2098.72,2.09662,1001,1933.72,2.22523,869 
2020-08-05,11:12:23,29874,79.675,1000,42,2744.15,2.74415,1000,697.77,0.698468,999,2093.03,2.09513,999,2335.83,2.33583,1000 
2020-08-14,09:37:55,30874,78.177,1000,41,2744.45,2.74445,1000,697.67,0.697668,1000,2095.83,2.09583,1000,2335.89,2.33589,1000 
2020-08-19,17:13:27,31885,78.351,1000,40,2773.88,2.7437,1011,698.41,0.698412,1000,2096.1,2.0961,1000,2335.9,2.3359,1000 
2020-08-27,16:00:13,32885,79.222,1000,39,2742.93,2.74293,1000,695.9,0.697998,997,2085.52,2.09179,997,2336.35,2.33635,1000 
2020-09-11,15:07:27,33885,79.106,1000,38,2741.67,2.74167,1000,698.45,0.698446,1000,2091.83,2.09183,1000,2336.59,2.33659,1000 
2020-09-16,15:00:33,34885,82.711,1000,37,2743.45,2.74345,1000,698.01,0.698015,1000,2092.92,2.09292,1000,2336.4,2.3364,1000 
2020-09-18,14:38:16,35885,79.085,1000,36,2741.33,2.74133,1000,697.5,0.698198,999,2089.49,2.09158,999,2332.76,2.3351,999 
